"Plan","Priority","Status"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Passed"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
"Accounts - 2020-Aug Regression","2 - Medium","Untested"
